0.5,0.29
1,0.292
1.5,0.294
2,0.296
2.5,0.298
3,0.3
3.5,0.302
4,0.304
4.5,0.306
5,0.308
5.5,0.31
6,0.312
6.5,0.314
7,0.316
7.5,0.319
8,0.322
8.5,0.325
9,0.328
9.5,0.331
10,0.334
10.5,0.337
11,0.34
11.5,0.343
12,0.346
12.5,0.349
13,0.352
13.5,0.355
14,0.358
14.5,0.361
15,0.364
15.5,0.367
16,0.37
16.5,0.373
17,0.376
17.5,0.379
18,0.382
18.5,0.385
19,0.388
19.5,0.391
20,0.395
20.5,0.399
21,0.403
21.5,0.407
22,0.411
22.5,0.415
23,0.419
23.5,0.423
24,0.427
24.5,0.431
25,0.435
25.5,0.439
26,0.443
26.5,0.447
27,0.451
27.5,0.455
28,0.459
28.5,0.463
29,0.467
29.5,0.471
30,0.475
30.5,0.479
31,0.483
31.5,0.487
32,0.491
32.5,0.495
33,0.499
33.5,0.503
34,0.507
34.5,0.511
35,0.515
35.5,0.519
36,0.523
36.5,0.527
37,0.531
37.5,0.535
38,0.539
38.5,0.543
39,0.547
39.5,0.551
40,0.555
40.5,0.559
41,0.563
41.5,0.567
42,0.571
42.5,0.575
43,0.579
43.5,0.583
44,0.587
44.5,0.591
45,0.595
45.5,0.599
46,0.603
46.5,0.607
47,0.611
47.5,0.615
48,0.619
48.5,0.623
49,0.627
49.5,0.631
50,0.635
50.5,0.639
51,0.643
51.5,0.647
52,0.651
52.5,0.655
53,0.659
53.5,0.663
54,0.667
54.5,0.671
55,0.675
55.5,0.679
56,0.683
56.5,0.687
57,0.691
57.5,0.695
58,0.699
58.5,0.703
59,0.707
59.5,0.711
60,0.715
60.5,0.719
61,0.723
61.5,0.727
